Recipient Adygei Armenian Balochi BantuKenya BantuSouthAfrica Basque Bedouin Belorussian BiakaPygmy Bulgarian Burusho Cambodian Chuvash Colombian Cypriot Dai Daur Druze EastSicilian Egyptian English Ethiopian EthiopianJew Finnish French Georgian GermanyAustria Greek Hadza Han HanNchina Hazara Hezhen Hungarian IndianJew Indian Iranian Ireland Japanese Jordanian Kalash Karitiana Lahu Lezgin Lithuanian Makrani Mandenka Maya MbutiPygmy Melanesian Miao Mongola Moroccan Mozabite Myanmar Naxi NorthItalian Norwegian Orcadian Oroqen Palestinian Papuan Pathan Pima Polish Romanian Russian Sandawe SanNamibia SanKhomani Sardinian Saudi Scottish She Sindhi SouthItalian Spanish Surui Syrian Tu Tujia Tunisian Turkish Tuscan UAE Uygur Uzbekistani Welsh WestSicilian Xibo Yakut Yemeni Yi
Adygei11 647.385 116.271 116.994 7.191 4.355 138.059 223.315 53.688 10.392 113.066 122.802 19.893 92.697 13.229 68.239 18.704 20.834 249.375 58.511 46.893 34.226 45.439 24.506 9.058 170.203 269.098 17.874 133.407 1.418 72.693 19.17 90.636 15.203 121.186 33.185 39.011 80.467 40.579 55.781 108.832 114.329 27.031 15.066 147.582 64.832 115.92 14.146 52.486 5.958 19.278 17.154 25.375 90.035 92.546 3.83 14.453 74.897 111.244 97.187 19.432 247.854 30.096 106.35 27.072 115.163 77.76 158.515 30.178 2.192 31.517 158.646 47.802 30.881 18.161 114.608 110.13 209.837 13.376 86.99 20.443 17.218 44.887 116.967 52.444 38.584 41.649 70.4 25.612 56.866 21.64 70.891 13.694 18.758
Adygei12 750.5 108.29 117.939 6.976 4.621 141.193 206.299 48.379 11.275 116.168 118.611 19.927 87.6 13.476 70.392 18.426 23.029 235.239 53.485 42.613 38.193 45.039 23.952 8.45 168.902 247.901 21.008 129.404 1.907 64.406 18.932 92.432 18.022 121.847 31.72 41.346 73.776 50.352 53.707 92.299 106.779 29.28 15.298 141.871 66.322 101.916 14.269 56.79 5.791 19.777 18.993 24.493 82.128 92.073 3.99 13.388 76.376 119.144 97.992 19.847 235.106 28.591 117.598 28.933 106.224 82.039 178.069 29.915 1.962 29.895 157.772 41.607 32.937 17.467 111.911 108.648 199.385 15.214 89.109 25.934 18.385 47.792 126.382 41.151 39.148 43.338 67.138 18.724 62.817 21.863 83.801 12.169 18.669
Adygei13 629.117 120.061 106.382 7.1 4.307 148.092 209.982 46.811 10.639 137.524 117.725 19.227 98.532 14.194 72.13 19.078 25.02 238.466 55.571 44.803 36.869 41.069 25.433 6.468 189.861 237.566 22.993 133.694 1.829 77.242 20.469 94.787 17.841 116.946 29.816 43.324 73.198 42.216 58.859 92.439 113.951 27.894 14.783 134.58 65.926 117.495 14.312 54.735 5.889 18.537 19.961 27.63 85.444 84.092 4.537 16.324 67.14 112.267 90.176 27.28 235.718 30.244 121.446 32.749 110.905 81.68 176.489 32.856 1.822 30.559 160.239 46.482 27.489 19.701 114.107 106.59 204.176 16.886 97.57 22.402 21.422 44.996 123.343 44.238 41.973 45.701 77.085 20.306 54.475 28.747 86.772 12.258 19.47
Adygei14 461.349 120.829 108.792 7.812 4.355 147.371 226.224 53.189 10.484 126.914 121.786 19.822 95.553 13.947 77.339 19.519 23.051 258.278 57.324 40.324 41.189 43.388 24.664 5.568 172.047 264.754 18.716 130.96 1.653 74.771 22.241 101.216 19.102 129.046 32.699 42.582 77.65 40.059 59.626 100.304 116.098 32.801 17.158 142.192 67.966 108.972 15.076 53.857 5.947 18.853 18.839 26.972 85.486 91.922 3.498 15.384 78.679 112.589 93.777 21.342 255.254 30.825 120.101 31.612 113.377 91.136 172.386 29.711 1.783 32.954 160.101 47.374 31.763 19.546 115.201 102.695 204.941 15.306 103.391 21.521 21.72 48.995 164.895 49.934 36.36 39.682 63.807 21.841 59.647 21.514 79.755 13.247 21.691
Adygei15 556.057 115.781 113.539 7.212 4.203 147.997 214.183 54.919 10.024 121.765 126.089 18.375 91.76 15.426 76.269 19.042 21.249 252.459 54.078 42.153 29.754 40.327 22.145 4.187 188.676 246.543 22.486 136.927 1.863 74.546 20.935 96.548 19.867 121.224 32.873 41.522 75.498 40.84 58.966 94.895 114.219 29.335 14.609 140.44 64.466 113.187 14.253 54.967 6.034 17.833 20.392 26.847 91.684 89.415 4.268 18.209 80.53 128.413 93.523 19.74 244.564 27.873 117.396 28.311 120.2 87.17 175.426 28.56 1.846 32.69 158.941 47.723 37.557 17.621 113.099 110.343 209.05 16.124 96.251 24.639 20.019 48.565 137.861 42.829 36.681 39.01 69.669 24.793 60.285 18.98 84.133 13.749 20.205
Adygei16 514.355 118.17 114.333 7.65 4.791 150.037 225.468 46.278 11.085 128.635 125.209 18.727 93.583 11.984 83.52 17.995 18.257 241.903 56.04 42.548 35.765 41.743 25.592 10.401 181.175 268.674 23.314 134.359 1.759 70.323 21.202 95.165 18.118 128.821 31.635 44.594 77.218 42.926 60.228 90.936 122.27 26.366 13.948 137.384 71.246 111.736 15.371 51.805 6.865 18.448 18.464 21.925 88.24 92.527 4.792 15.944 75.652 121.905 96.113 22.302 250.907 30.988 119.095 30.465 117.783 90.659 171.069 31.003 2.195 33.473 161.119 45.498 39.773 21.248 116.114 104.006 192.08 14.168 91.485 25.652 19.674 47.281 127.567 50.729 43.036 42.283 76.595 19.662 60.881 21.729 90.952 16.712 18.43
Adygei17 428.613 114.349 107.505 8.733 4.544 142.188 214.246 51.894 11.063 113.123 120.505 21.129 107.483 18.597 72.181 21.577 31.132 237.356 55.716 38.338 32.894 42.895 22.684 7.121 187.526 284.618 21.608 124.296 1.856 85.831 26.875 105.681 23.457 107.986 29.875 45.181 73.135 42.254 72.158 101.169 118.084 30.301 19.555 136.607 62.386 115.955 16.833 61.956 6.699 20.412 25.178 34.969 90.038 98.238 5.31 18.226 67.095 120.576 97.652 25.968 244.946 32.912 119.652 32.197 101.475 79.698 165.149 32.357 2.265 34.649 157.904 45.569 38.657 21.626 114.439 107.398 180.846 19.58 102.772 28.679 23.252 43.669 158.151 45.159 40.879 37.406 76.84 23.823 56.395 30.512 110.35 12.282 24.276
Armenian1 129.943 140.693 141.246 8.38 4.962 148.614 286.264 50.829 12.645 124.274 141.668 19.46 82.069 14.163 93.291 18.55 16.604 322.589 67.684 55.983 32.592 57.848 31.531 5.518 172.384 183.105 18.601 147.432 2.352 67.7 19.829 99.016 14.721 114.628 35.651 44.049 84.094 44.197 56.022 120.612 118.564 27.595 14.15 148.124 64.238 128.32 17.377 55.101 7.159 18.632 18.598 21.67 114.287 106.266 4.551 13.894 82.74 120.906 87.46 18.269 299.605 31.631 125.202 28.71 95.319 83.78 141.743 39.753 2.493 38.069 182.468 62.92 32.017 16.926 127.864 132.865 231.349 13.623 110.84 23.696 17.836 65.666 124.558 52.31 53.86 38.595 71.626 21.648 64.084 16.678 61.165 16.115 19.077
Armenian2 133.668 143.106 133.896 10.349 5.292 152.013 307.157 45.21 13.752 120.253 129.075 17.632 73.941 15.321 84.356 16.448 18.719 306.743 67.085 53.783 33.433 60.859 34.683 6.59 190.979 168.704 21.658 143.038 2.024 64.353 18.484 93.837 13.756 120.888 34.229 44.258 101.883 40.319 54.566 116.987 126.401 27.312 13.231 140.982 57.254 128.114 17.652 52.181 7.5 21.097 16.872 20.604 114.329 113.617 4.31 14.173 80.887 114.699 89.547 17.546 315.577 33.616 130.285 30.25 95.844 80.731 146.153 41.392 2.343 36.888 187.98 61.762 32.641 16.183 125.212 134.634 228.067 15.828 118.779 18.865 16.848 58.585 128.377 50.032 53.947 35.519 69.211 22.038 65.311 16.948 61.314 18.429 16.941
Armenian3 140.673 574.766 124.573 8.572 4.86 144.196 266.716 41.666 11.573 118.786 127.445 17.876 74.829 11.772 83.245 16.295 16.891 300.867 60.927 52.262 28.268 52.705 28.749 5.589 171.408 200.564 18.718 143.6 2.923 58.004 18.066 78.723 14.236 106.944 32.949 42.866 83.536 34.421 50.572 107.014 112.647 26.234 12.913 132.09 54.738 120.408 15.676 45.299 6.525 18.582 15.692 19.705 109.824 119.079 4.234 12.182 77.587 100.784 87.35 16.192 279.703 27.286 113.829 26.826 90.027 81.018 128.472 35.923 2.306 34.58 183.516 55.843 31.898 15.898 115.552 124.031 202.367 12.431 99.985 17.511 16.472 55.993 124.811 53.187 48.407 33.063 65.654 20.915 78.501 15.424 63.666 14.974 17.006
