Recipient Adygei Armenian Balochi BantuKenya BantuSouthAfrica Basque Bedouin Belorussian BiakaPygmy Bulgarian Burusho Cambodian Chuvash Colombian Cypriot Dai Daur Druze EastSicilian Egyptian English Ethiopian EthiopianJew Finnish French Georgian GermanyAustria Greek Hadza Han HanNchina Hazara Hezhen Hungarian IndianJew Indian Iranian Ireland Japanese Jordanian Kalash Karitiana Lahu Lezgin Lithuanian Makrani Mandenka Maya MbutiPygmy Melanesian Miao Mongola Moroccan Mozabite Myanmar Naxi NorthItalian Norwegian Orcadian Oroqen Palestinian Papuan Pathan Pima Polish Romanian Russian Sandawe SanNamibia SanKhomani Sardinian Saudi Scottish She Sindhi SouthItalian Spanish Surui Syrian Tu Tujia Tunisian Turkish Tuscan UAE Uygur Uzbekistani Welsh WestSicilian Xibo Yakut Yemeni Yi
Cambodian3 48.843 38.155 72.323 12.49 7.035 57.5 103.695 20.278 18.431 44.534 121.448 415.628 58.353 31.578 26.931 245.346 94.828 94.606 23.378 19.931 11.694 31.232 17.196 2.629 67.598 49.584 8.891 47.712 3.049 595.099 129.679 141.632 82.466 45.634 31.393 68.235 34.875 16.356 339.85 42.996 72.269 65.013 211.687 49.116 22.795 67.559 25.142 104.069 10.378 81.831 189.105 105.097 44.304 47.263 38.667 111.533 26.571 43.163 34.022 86.988 102.308 102.729 86.548 69.243 40.614 30.863 73.4 34.574 2.957 46.9 64.397 21.306 11.839 162.744 88.658 42.138 79.254 31.382 39.995 115.772 162.3 22.91 47.266 17.808 19.914 63.826 85.524 6.654 21.648 93.618 196.04 7.534 159.669
Cambodian4 48.526 37.836 64.679 10.453 7.119 49.16 94.13 18.296 15.906 41.325 101.786 318.944 55.653 35.265 25.456 257.927 106.115 93.589 21.845 18.73 11.378 29.64 16.182 1.979 61.737 48.216 8.614 46.027 2.421 689.778 141.045 153.182 85.464 42.615 29.3 64.829 33.297 15.385 396.877 41.236 69.254 69.104 172.204 45.559 22.288 63.38 22.358 116.674 9.225 75.767 185.18 112.415 42.192 46.545 36.368 122.072 25.941 41.246 32.633 106.484 98.805 93.163 80.977 69.949 36.227 28.293 72.322 31.565 3.101 36.87 58.445 19.985 12.511 191.035 78.859 37.43 77.456 37.362 35.799 140.582 176.654 24.752 43.572 16.751 20.885 62.853 85.814 6.357 21.221 101.243 203.377 6.452 158.367
Cambodian5 49.84 38.62 77.093 12.017 7.788 57.428 103.831 18.183 17.871 45.831 114.089 379.698 61.245 35.284 27.971 248.668 91.617 98.977 21.154 22.783 13.045 34.515 20.025 2.606 69.357 49.637 9.523 48.592 2.091 605.519 123.211 138.635 83.146 46.602 36.257 77.101 36.18 16.185 327.066 43.029 81.441 67.393 195.663 50.922 24.36 71.629 25.142 107.171 10.107 79.684 181.43 105.341 46.252 49.552 38.855 119.661 31.055 47.387 38.887 89.621 109.592 99.198 85.798 68.218 38.479 33.017 74.453 35.92 3.489 46.664 63.499 21.062 13.694 168.655 103.198 44.489 83.398 35.413 41.193 114.626 151.452 24.161 49.166 17.813 20.725 58.675 83.853 7.143 20.142 92.712 190.091 6.609 137.692
Cambodian6 42.484 36.039 62.162 11.356 6.95 51.643 88.686 17.122 16.858 42.084 101.616 370.454 57.085 36.338 24.78 256.385 109.282 88.794 23.649 18.357 12.081 29.842 17.479 3.108 61.187 45.085 7.003 41.477 2.202 668.281 151.594 158.436 101.833 38.737 29.629 59.839 32.779 13.517 393.943 36.972 62.25 68.774 180.493 45.632 21.827 59.627 23.034 111.156 9.571 77.945 187.679 109.178 39.745 43.283 35.27 121.751 23.862 41.592 31.437 95.666 91.871 91.589 77.121 71.071 35.203 28.551 69.686 31.709 3.325 38.65 59.697 19.472 11.261 199.636 76.992 38.416 76.02 37.755 36.322 124.445 171.52 20.838 47.722 15.923 18.966 70.145 84.691 6.312 21.073 115.411 214.423 5.73 163.131
Cambodian7 44.535 37.243 65.265 11.869 7.868 54.571 100.569 19.542 18.903 44.735 111.045 464.534 56.326 36.478 26.545 277.593 93.541 98.866 21.911 19.819 12.016 34.614 17.644 2.667 66.866 49.762 8.265 44.992 2.198 575.341 139.531 140.879 77.929 42.913 29.992 66.842 36.585 16.053 344.663 40.586 69.662 64.981 210.421 46.74 22.904 66.706 24.623 107.73 11.951 81.951 162.592 100.219 45.532 48.014 46.013 124.628 24.43 43.623 32.957 85.649 106.468 103.497 82.701 66.894 38.665 32.598 68.095 34.69 3.445 40.662 61.595 22.804 13.192 169.804 87.701 40.552 79.411 36.374 37.721 124.816 161.955 22.281 47.786 16.662 20.779 62.831 83.061 7.25 20.89 98.583 190.246 8.978 146.761
Cambodian8 48.581 36.975 65.127 11.236 6.494 52.293 96.264 17.302 18.078 43.452 103.766 318.848 57.225 33.766 23.682 245.827 102.36 91.502 21.524 19.128 12.435 31.271 15.981 3.468 65.021 49.079 6.788 44.595 2.516 649.27 148.122 149.937 89.711 41.616 28.06 62.263 34.554 13.957 409.524 39.871 67.46 67.517 174.589 47.89 21.761 62.814 21.305 108.728 9.923 78.019 194.888 119.812 40.977 43.662 29.336 120.604 27.34 43.271 32.169 98.826 99.197 91.958 76.465 69.241 39.732 30.448 68.89 31.902 3.127 38.976 61.867 20.806 12.118 183.749 86.696 40.494 76.324 37.884 33.586 128.946 176.154 22.561 50.197 16.75 19.046 71.253 88.4 6.613 20.952 112.128 207.945 7.04 164.824
Cambodian9 46.465 39.4 74.767 11.147 7.235 55.081 100.64 19.646 17.61 46.301 110.47 386.017 55.194 33.315 28.589 270.248 86.64 98.177 22.678 19.03 11.963 33.417 18.007 2.464 68.83 50.04 7.568 49.567 2.908 629.219 127.893 142.1 76.504 45.06 34.633 75.327 40.514 15.55 368.397 40.825 74.992 61.52 196.359 49.704 23.84 68.414 24.555 109.582 9.735 76.836 172.917 98.509 44.486 49.106 37.534 123.897 26.362 41.497 34.256 84.721 107.445 94.249 85.628 61.415 38.476 32.62 71.387 33.899 3.185 43.099 63.861 20.588 12.819 174.79 84.754 39.79 81.749 34.328 38.29 117.74 171.359 23.466 51.069 18.859 19.715 66.145 91.656 8.44 22.494 93.156 185.679 6.858 144.108
Cambodian10 47.644 41.923 71.473 12.776 7.521 54.742 106.185 18.475 19.566 43.586 120.582 387.785 53.329 33.079 30.782 256.747 89.165 97.489 24.108 21.911 11.413 31.984 18.789 2.329 66.058 54.187 7.787 48.29 2.706 591.521 135.533 134.085 76.151 45.339 36.314 69.055 34.853 15.067 330.289 45.344 79.448 65.623 216.085 49.285 22.447 79.193 24.54 104.755 10.512 90.758 174.951 95.739 46.478 48.827 39.043 112.749 26.82 45.041 34.807 83.313 111.31 107.944 87.792 69.479 39.269 33.569 69.905 35.501 3.17 44.025 64.283 21.558 13.307 160.177 94.218 42.669 84.898 36.398 40.231 122.18 158.116 23.993 48.978 18.66 20.701 60.06 87.019 7.659 23.501 93.818 184.373 6.344 157.48
Chuvash1 96.032 81.092 73.734 5.502 3.43 128.482 139.936 92.15 9.077 134.602 101.008 22.337 928.165 18.849 49.478 22.873 43.366 156.932 49.828 26.338 46.604 27.902 16.896 10.001 180.03 100.776 23.274 128.663 1.44 89.499 32.427 102.707 31.848 155.317 21.171 31.744 51.32 44.028 92.531 64.492 89.358 33.908 19.836 91.731 103.643 79.519 12.371 71.932 4.977 19.449 25.598 42.235 67.99 80.653 4.784 23.202 69.855 138.393 108.721 53.253 163.277 26.502 87.341 40.163 160.447 99.692 336.922 22.017 1.756 30.362 136.433 26.839 34.281 24.27 102.053 84.266 186.589 19.272 55.643 31.564 26.851 29.572 84.538 40.163 26.908 44.07 82.266 22.085 48.151 36.084 201.989 9.015 25.289
Chuvash2 91.3 69.536 72.811 6.209 3.818 128.362 131.28 71.482 9.161 105.473 100.3 21.692 1057.563 22.323 46.899 25.668 40.254 147.677 42.588 22.68 33.255 26.113 14.141 6.51 184.114 93.03 21.81 108.753 1.326 106.882 29.568 105.383 35.475 168.026 23.694 33.448 46.333 45.397 96.74 57.839 86.919 42.479 21.17 83.387 92.872 82.135 12.434 74.835 4.912 18.808 28.627 48.862 66.167 65.671 5.144 18.177 65.922 140.607 111.599 53.538 148.94 26.455 90.082 48.446 167.117 91.339 355.342 20.99 1.686 26.227 130.226 26.346 38.324 24.24 78.673 82.139 197.616 19.63 50.364 31.243 25.595 29.543 68.521 37.992 23.778 49.413 87.326 21.239 45.677 43.582 213.475 9.048 28.99
Chuvash3 83.686 77.305 78.214 5.941 3.407 139.237 133.845 77.583 8.538 129.713 98.666 20.239 934.859 21.362 49.38 23.881 38.886 154.921 40.853 25.882 36.732 26.531 16.073 13.166 182.336 97.393 28.2 114.083 1.251 101.146 31.537 106.664 36.284 146.289 20.641 33.232 49.106 44.148 92.123 65.917 99.63 35.153 19.032 91.875 110.501 80.586 11.279 66.901 5.21 21.574 22.679 46.764 65.902 69.891 4.61 24.551 72.402 155.542 113.301 52.314 154.228 29.659 95.664 42.262 193.919 93.277 328.806 21.588 1.651 30.983 125.103 25.931 33.663 23.901 91.059 86.242 188.271 24.245 52.444 35.552 26.413 32.312 87.348 36.332 23.116 45.611 74.57 26.52 47.406 40.5 212.175 6.653 29.384
Chuvash4 92.663 83.822 76.216 5.549 3.246 145.336 131.137 85.661 8.976 123.427 93.852 22.695 935.41 18.843 46.19 23.933 46.404 145.907 42.723 25.647 33.482 30.002 14.794 20.746 174.753 91.743 21.824 103.841 1.266 99.252 31.355 107.012 38.571 138.484 23.978 30.121 47.434 44.166 95.705 54.463 94.887 41.199 16.64 99.398 110.025 76.211 12.931 73.304 5.11 19.358 25.93 54.997 68.632 73.799 4.566 22.442 63.922 142.492 111.883 55.099 146.008 28.224 92.479 43.045 160.038 85.67 360.117 22.622 1.612 30.679 123.399 28.845 43.318 24.782 83.206 85.757 200.915 23.203 58.523 29.987 27.193 32.79 77.693 40.864 28.537 51.252 83.517 18.718 44.268 39.79 236.544 8.152 29.106
Chuvash5 98.605 70.177 74.961 5.822 3.485 141.711 136.16 76.073 8.745 131.511 96.807 19.975 1022.515 20.899 50.005 21.546 39.088 156.08 47.322 24.358 35.871 28.041 16.809 16.035 182.143 89.665 19.433 109.106 1.207 92.936 28.922 105.408 37.455 147.534 24.859 30.481 50.169 39.412 88.788 54.705 99.91 38.036 17.967 84.042 113.762 77.555 11.97 70.709 4.914 19.965 29.577 46.983 68.877 69.638 5.092 21.423 69.488 140.662 107.295 63.815 147.283 26.479 84.981 40.593 149.699 90.056 354.976 23.25 1.689 26.525 123.397 28.328 45.473 23.02 83.864 78.124 194.992 22.386 54.387 31.865 27.826 32.776 79.853 37.383 25.31 50.72 90.863 21.253 44.453 35.315 204.203 8.223 27.812
Chuvash6 100.342 69.03 83.182 6.357 3.587 145.313 131.376 95.659 9.316 132.714 91.348 21.917 888.19 19.401 40.157 25.554 45.887 164.505 40.576 25.605 37.983 31.388 16.838 11.219 190.18 104.009 22.575 110.122 1.713 100.528 30.759 110.033 39.399 147.201 27.885 35.525 50.321 43.039 95.25 57.894 90.419 40.724 19.691 85.622 110.27 78.093 14.467 75.674 5.922 18.373 27.524 50.542 67.918 78.056 5.324 20.696 67.711 165.014 103.512 57.768 141.237 28.21 86.39 44.446 159.093 106.623 320.616 20.878 1.585 27.212 125.464 25.08 35.389 26.253 85.743 85.66 183.645 20.093 52.316 30.723 29.028 39.092 79.08 38.11 27.121 47.913 89.939 21.157 39.657 37.161 243.222 8.078 27.798
Chuvash7 103.128 69.486 79.886 6.407 3.564 133.962 137.784 64.947 9.514 135.453 102.55 22.328 1081.959 20.825 42.027 24.834 33.953 140.883 41.049 25.837 35.888 27.86 15.834 9.939 173.698 89.566 24.088 111.547 1.307 105.147 31.839 101.323 40.493 145.454 26.746 32.258 42.569 41.29 93.197 62.146 98.416 42.46 19.322 85.034 98.941 77.221 14.182 69.706 5.511 19.165 27.331 43.88 68.903 68.49 4.118 22.988 64.957 132.423 105.304 56.974 150.431 29.777 92.988 43.622 151.329 77.869 337.368 22.571 1.571 34.825 118.901 26.472 36.953 26.346 81.732 78.128 193.876 22.307 58.776 36.006 28.175 36.87 70.633 36.637 22.995 40.104 85.132 22.142 44.884 38.045 213.468 7.795 25.479
Chuvash8 96.462 78.228 73.935 6.57 3.58 148.26 127.648 86.847 8.96 124.445 102.551 22.983 929.288 18.201 43.583 22.458 34.699 148.52 45.825 27.192 37.765 25.974 14.535 17.485 189.483 80.528 27.473 110.795 1.341 94.484 28.596 104.911 37.699 158.974 27.441 30.085 50.921 43.212 87.971 56.305 91.522 39.327 18.144 88.49 113.407 73.234 12.202 72.982 5.151 19.982 23.75 46.153 73.821 66.618 5.826 23.003 65 136.196 117.16 55.539 151.673 27.205 102.558 36.554 173.567 115.588 374.841 22.795 1.451 27.115 120.978 27.756 36.891 24.461 90.148 79.791 204.727 21.262 54.316 27.927 25.873 35.418 78.286 41.097 26.477 50.853 87.825 16.721 46.451 43.332 191.719 8.78 25.521
Chuvash9 97.852 70.991 75.554 6.885 3.925 149.104 132.469 68.221 10.117 128.333 101.438 24.395 877.352 18.996 53.467 24.617 40.955 153.24 43.618 31.036 42.125 25.614 17.12 6.866 194.125 87.351 22.042 103.34 1.299 107.858 31.418 108.586 37.899 155.605 22.702 33.924 54.849 44.875 95.788 60.639 91.451 36.79 17.744 100.857 112.275 88.701 13.563 76.881 4.745 20.496 31.443 52.478 70.171 69.676 3.896 22.037 66.564 155.077 101.937 62.404 142.978 29.744 95.609 48.829 145.222 93.83 321.203 22.088 2.224 33.251 133.357 29.737 40.095 28.84 87.628 82.795 190.969 23.345 58.042 36.241 29.044 35.731 74.549 37.189 25.477 46.888 88.536 22.037 39.377 41.293 232.185 6.89 29.006
Chuvash10 89.99 76.761 81.39 5.757 3.57 128.393 129.237 75.266 9.376 120.031 103.213 21.891 990.852 20.045 46.825 24.325 44.759 147.585 39.93 23.747 37.71 25.873 14.356 17.569 166.526 94.563 21.845 115.621 1.09 101.769 31.736 109.623 42.179 154.295 24.869 34.498 50.892 46.254 89.077 56.994 95.2 39 22.26 106.93 101.893 81.368 12.71 77.367 4.435 20.157 26.3 50.408 63.532 67.622 4.967 20.524 61.393 149.626 106.466 52.774 145.542 27.895 81.061 42.843 159.127 87.44 330.827 23.208 1.741 32.412 128.868 24.88 39.966 25.837 89.054 86.174 197.098 19.457 63.319 32.381 29.481 36.198 69.347 38.805 24.293 45.667 85.451 15.057 43.629 39.215 236.261 9.656 27.73
Chuvash11 98.058 70.91 80.324 6.484 4.46 139.72 137.099 80.105 9.387 117.644 97.861 22.788 1064.692 20.838 50.405 22.906 35.672 156.518 51.946 25.911 32.792 28.544 14.948 13.174 177.327 91.216 27.209 119.786 1.346 94.641 29.347 109.252 31.739 140.96 25.885 32.599 46.682 47.838 87.713 60.252 94.624 41.534 18.411 87.795 109.347 75.817 12.241 69.933 5.104 18.423 23.437 41.852 68.906 72.361 3.843 23.479 63.886 145.935 93.722 54.998 158.002 27.589 88.091 45.081 156.534 91.733 328.255 21.392 1.539 26.784 125.789 26.677 33.808 25.52 85.05 77.632 184.606 25.735 56.582 25.872 25.575 35.926 76.283 46.097 25.743 49.208 76.05 18.815 43.666 35.743 205.678 9.14 28.714
Chuvash12 89.478 81.033 70.965 6.735 3.439 122.074 136.644 64.989 8.998 119.831 97.972 25.017 1046.954 19.389 41.161 24.255 39.961 139.601 37.854 26.697 38.107 25.216 17.072 10.018 183.106 85.532 29.5 108.186 1.33 97.08 29.695 122.209 41.467 137.983 21.664 34.669 48.922 34.461 92.361 61.3 87.18 41.609 17.447 89.717 117.973 81.282 11.329 68.791 5.52 18.965 24.87 45.896 68.86 66.904 5.25 23.174 66.534 140.546 100.582 62.188 144.951 28.952 93.155 45.033 152.663 95.932 349.308 21.37 1.498 30.5 137.45 27.049 40.38 25.887 81.286 77.804 174.119 23.349 52.386 31.259 29.791 31.299 82.022 38.693 24.687 52.942 82.663 22.406 41.325 39.766 239.205 8.516 28.33
Chuvash13 91.832 82.254 77.357 5.715 3.61 141.757 134.602 87.624 8.613 133.389 93.516 24.448 1004.848 19.847 53.403 25.359 36.908 154.939 44.389 27.178 43.476 26.681 14.836 11.67 182.147 88.734 24.921 104.263 1.299 103.962 30.376 106.866 35.896 138.217 25.623 33.66 46.914 52.858 91.217 64.414 100.958 38.048 19.777 96.14 100.995 79.994 13.64 67.579 4.664 22.006 27.482 43.639 68.271 74.143 3.975 24.451 71.506 145.142 106.27 47.692 145.88 30.094 84.901 39.633 179.206 94.188 328.545 21.568 1.558 30.956 118.192 27.319 35.284 30.803 83.35 78.459 184.526 21.431 54.006 33.155 25.862 33.288 82.739 36.336 23.044 45.481 78.883 17.899 47.8 29.293 206.017 8.978 28.751
Chuvash14 93.294 72.7 74.846 6.165 3.417 139.815 128.418 70.817 9.143 135.32 106.837 24.851 1016.262 20.703 56.452 24.891 44.585 152.332 45.358 25.244 34.796 27.667 16.297 18.474 181.474 90.778 29.127 110.695 1.577 98.054 27.264 117.89 41.428 151.536 22.275 30.139 47.329 42.48 93.173 53.933 91.502 42.247 18.135 89.067 90.328 81.329 12.255 70.333 4.833 20.949 26.691 46.537 70.322 69.632 5.39 22.803 65.603 131.612 95.684 51.232 157.808 30.102 89.42 43.41 147.309 90.797 332.634 20.405 2.012 34.213 133.591 28.67 42.095 25.563 82.809 87.051 195.278 22.506 56.885 34.985 25.56 31.051 71.917 34.204 21.868 55.089 82.207 21.593 46.162 38.858 199.147 8.87 30.288
Chuvash15 110.524 80.843 78.029 6.034 3.508 137.1 132.888 91.955 8.557 143.713 99.043 23.378 924.505 20.668 51.887 22.377 45.066 150.543 44.354 25.2 38.909 25.247 14.792 16.36 185.192 96.555 27.384 110.022 1.155 99.806 29.343 113.877 41.744 144.002 22.574 34.254 51.175 45.54 98.633 61.881 92.452 44.985 18.988 94.208 105.471 79.912 12.908 73.887 4.809 17.608 27.072 45.993 72.084 68.234 3.966 21.55 64.018 135.634 103.999 60.949 142.733 28.315 99.848 50.153 148.688 89.505 320.437 22.833 1.546 25.621 128.73 30.395 35.338 25.471 82.724 81.218 185.45 23.382 58.901 31.86 29.075 34.87 78.696 39.878 23.896 47.578 74.809 25.52 53.388 35.431 221.175 10.02 27.121
Chuvash16 103.553 75.117 86.154 6.204 3.985 148.722 128.465 96.64 8.901 131.907 109.4 22.028 784.814 17.722 53.14 19.907 38.406 147.676 48.533 24.788 37.291 27.84 16.336 17.56 203.274 97.472 24.776 128.769 1.357 91.719 33.062 101.391 37.224 153.904 19.646 31.473 55.579 51.248 87.467 60.068 92.605 35.082 17.493 87.328 117.643 82.311 12.454 62.933 4.813 17.724 22.704 45.742 69.105 72.182 4.631 20.171 73.903 153.376 119.667 51.841 145.098 26.491 102.398 39.332 201.758 100.749 384.171 20.193 1.486 31.158 134.876 27.171 39.545 22.457 90.557 81.012 201.564 21.381 58.491 31.971 27.213 37.435 83.719 41.683 25.582 44.337 70.172 26.772 46.534 35.918 190.758 8.838 27.507
Colombian1 25.771 20.026 30.707 4.048 2.334 28.773 44.135 10.556 6.542 23.623 44.368 26.78 38.208 1958.679 11.54 25.618 28.787 43.217 10.065 8.037 7.75 11.931 6.389 2.419 36.556 23.294 4.408 25.192 0.878 105.962 32.095 56.389 27.261 24.195 10.087 19.18 16.824 8.394 102.169 18.318 32.359 709.602 18.853 26.481 14.61 28.911 7.595 1222.914 3.397 17.962 27.057 33.071 19.84 20.954 4.59 20.64 14.17 24.984 18.653 36.75 46.013 25.201 36.372 570.244 22.287 15.356 45.587 12.125 1.115 12.734 31.258 9.785 6.917 30.934 35.026 23.284 42.353 407.298 16.595 32.048 28.575 11.137 22.533 8.837 7.692 25.195 41.348 3.946 12.487 29.497 97.175 3.204 30.116
Colombian2 31.663 28.657 36.55 24.369 18.527 56.681 67.014 14.988 23.695 33.101 50.918 26.586 43.39 1585.68 18.458 27.857 30.976 65.838 17.626 14.025 10.434 22.538 13.59 1.689 64.155 32.637 5.457 35.591 1.481 108.578 32.072 63.456 33.425 36.922 12.829 23.758 21.373 12.177 104.842 29.875 42.819 585.779 20.592 36.48 21.029 37.6 53.849 1066.386 13.081 20.169 29.533 34.821 41.889 48.998 6.005 21.662 21.282 37.184 30.409 35.251 71.615 27.27 42.62 509.127 32.109 22.208 55.412 41.527 2.579 37.084 47.467 15.288 11.377 28.735 42.6 29.723 68.057 330.472 25.493 28.944 33.49 18.427 33.642 11.65 12.365 25.219 40.344 5.128 20.332 29.429 98.012 3.918 32.743
Colombian3 19.579 15.186 26.435 3.554 2.149 26.638 38.024 9.081 5.42 22.004 37.764 20.271 31.168 2692.162 10.789 21.696 26.285 38.949 9.639 7.608 6.466 11.13 6.017 1.185 33.724 20.989 4.524 21.283 0.704 89.711 26.938 58.642 24.699 21.171 9.021 18.564 15.44 7.529 90.851 15.652 32.88 583.773 18.132 21.569 13.265 25.519 7.096 1016.396 3.362 14.858 22.83 30.422 18.867 18.359 4.75 18.983 13.401 23.221 16.671 30.149 39.974 22.191 33.497 478.459 20.615 14.859 40.981 10.859 1.117 11.121 24.7 7.587 6.504 22.077 29.983 17.894 36.178 337.285 14.814 29.095 28.533 8.731 20.348 7.465 9.953 23.005 34.272 3.126 10.03 30.873 92.417 2.363 26.029
Colombian4 15.928 11.851 21.354 2.599 1.655 19.875 29.739 6.148 4.039 15.695 29.696 15.328 28.957 3752.706 8.759 19.318 20.723 30.302 7.93 5.96 5.619 7.875 4.32 0.937 25.168 15.568 2.817 15.521 0.526 71.926 21.933 39.306 23.134 18.95 6.876 12.444 11.174 6.599 72.255 11.348 22.368 436.079 14.514 18.66 8.698 19.507 5.321 766.166 2.486 13.762 18.248 23.363 14.453 13.163 3.006 13.865 8.887 17.551 12.707 26.808 30.078 15.679 26.459 343.323 16.403 11.263 31.345 9.02 0.797 8.218 19.443 7.723 4.802 18.907 23.845 13.558 27.206 254.6 11.293 21.312 17.59 7.887 16.295 6.465 5.708 17.013 25.609 2.549 7.169 18.286 65.844 1.999 21.699
Colombian5 17.285 12.043 19.994 2.74 1.825 20.825 30.227 7.282 4.328 16.593 33.431 15.38 25.523 3654.546 8.207 19.688 23.508 30.559 6.787 5.551 4.77 8.356 4.302 1.121 24.111 17.146 2.73 15.38 0.567 74.754 19.871 38.991 19.844 17.077 6.77 14.127 10.584 5.983 68.342 11.82 23.469 421.708 13.092 17.809 8.672 19.724 5.494 837.476 2.39 10.382 17.509 25.733 12.353 13.381 3.165 15.217 9.327 16.08 13.659 21.133 30.8 17.068 21.845 369.481 15.122 10.35 31.847 8.373 0.742 9.221 18.911 7.141 4.536 20.777 23.011 12.834 27.064 281.569 12.914 20.4 20.755 6.425 17.057 5.301 5.407 15.577 24.3 3.267 7.7 20.493 68.645 1.742 20.71
Colombian6 18.238 13.988 21.367 2.792 1.917 21.759 32.406 7.437 4.5 15.741 34.913 16.958 29.355 3365.836 9.164 19.488 22.477 31.424 6.998 6.841 4.83 8.392 5.101 1.254 28.17 17.238 3.256 17.329 0.554 79.273 21.02 42.753 20.031 19.569 7.757 13.556 12.09 5.863 75.727 12.158 25.49 495.539 16.701 19.769 10.476 19.306 6.344 850.458 2.322 13.466 22.952 26.276 13.721 14.713 3.754 17.543 10.375 18.934 14.467 26.816 35.182 19.354 26.06 430.888 17.02 11.859 32.927 9.139 0.766 8.989 20.318 6.525 5.05 23.777 24.958 15.819 33.491 291.747 12.381 21.179 23.48 7.581 18.616 6.556 5.858 18.414 24.982 3.597 7.679 20.751 69.932 2.627 22.071
Colombian7 26.445 20.133 29.783 4.489 2.423 29.133 44.298 11.77 6.665 24.438 44.985 25.925 38.37 1793.941 11.54 29.8 35.837 45.061 10.695 7.766 6.675 12.217 6.336 1.428 38.726 26.256 4.592 23.965 0.817 110.686 34.682 60.355 30.026 25.006 11.67 22.974 17.168 9.121 104.523 18.081 34.955 713.125 19.994 27.029 14.045 28.696 8.387 1261.434 3.93 19.73 30.247 38.519 20.127 20.917 5.768 24.038 14.192 24.432 21.331 38.899 46.756 27.958 38.028 583.118 24.199 17.592 42.975 12.183 1.066 13.379 28.489 9.293 6.676 27.497 33.611 21.294 43.237 437.573 16.52 33.818 27.215 10.313 25.027 8.601 10.581 26.451 36.509 4.414 11.293 29.137 105.662 3.625 34.258
Cypriot1 111.921 111.861 103.778 13.979 7.161 162.157 318.601 48.481 15.604 134.322 111.783 15.834 88.833 11.569 201.353 17.666 15.915 283.227 80.796 58.517 38.378 65.111 35.146 5.522 188.542 135.202 19.064 155.257 2.212 60.279 16.248 82.841 12.601 129.94 33.364 42.533 87.722 39.924 50.069 113.458 112.577 22.977 11.638 114.615 67.604 108.956 24.694 43.135 8.327 18.96 15.518 18.904 120.922 128.65 3.34 12.413 84.067 116.883 93.862 14.868 329.033 28.187 110.003 25.929 102.835 91.284 153.695 50.263 2.505 40.283 219.151 68.698 31.445 15.356 109.274 136.961 235.001 11.641 113.478 19.586 16.467 65.311 113.302 58.867 50.67 35.591 61.536 23.547 75.886 16.711 56.021 18.75 16.328
Cypriot2 125.318 112.545 106.627 10.383 7.005 161.357 295.778 47.794 16.197 130.276 114.237 17.455 78.997 11.461 254.822 16.225 16.468 307.974 71.718 53.497 39.395 63.231 35.687 5.498 192.22 136.533 20.978 152.431 2.186 59.497 19.343 81.87 12.263 120.067 35.297 41.107 76.214 39.517 50.822 122.485 103.088 22.739 11.552 123.692 59.816 118.514 20.808 47.651 7.306 19.642 15.966 17.606 127.799 126.147 3.38 13.271 86.92 121.213 89.48 14.232 319 29.719 106.442 23.958 107.481 95.259 145.699 46.207 2.911 35.696 211.997 65.388 37.214 16.218 113.905 131.31 235.789 11.774 107.49 19.946 15.745 68.882 115.931 48.977 54.906 31.897 63.18 21.024 66.927 19.018 55.047 20.221 17.606
Cypriot3 115.961 118.425 111.104 11.841 6.399 165.47 311.659 50.858 14.582 126.624 110.096 18.768 82.784 12.215 147.498 17.388 17.349 313.651 68.263 56.649 32.14 65.771 37.035 6.852 191.727 152.864 22.921 168.233 1.756 64.68 16.378 83.518 13.724 136.115 33.164 39.065 85.197 46.179 51.813 120.37 105.342 25.334 12.209 117.436 60.503 114.551 23.367 46.819 7.899 19.449 15.979 21.221 124.59 128.872 3.682 12.902 80.526 110.557 97.371 15.992 307.602 28.015 110.956 27.322 117.977 86.252 161.473 45.614 3.2 43.35 206.498 68.037 34.228 16.047 109.839 137.446 232.894 15.463 111.655 19.955 16.02 64.806 115.501 50.09 56.783 32.753 59.665 19.995 72.674 17.406 60.444 17.332 15.637
Cypriot4 106.285 120.724 115.473 13.36 7.67 170.976 316.245 48.106 18.403 130.87 112.784 17.968 80.322 11.645 153.376 16.526 15.838 327.081 72.834 58.956 34.494 67.74 38.013 4.791 193.894 144.006 20.719 149.074 2.991 63.956 16.333 80.721 14.242 122.501 33.122 43.325 80.719 44.302 50.824 120.801 97.945 23.677 14.457 111.739 61.526 116.569 24.488 47.162 8.931 18.039 16.009 20.814 117.49 135.482 4.059 12.371 83.62 115.711 95.072 15.784 316.698 29.45 110.216 26.207 95.418 93.237 156.067 49.263 2.984 41.256 207.09 70.462 35.513 15.528 115.491 137.951 239.418 13.842 112.379 20.455 17.439 65.136 106.604 47.325 53.269 33.816 63.305 22.202 75.994 20.023 54.899 20.805 16.057
